number of servers switched on: 3
number of jobs: 1000
seed: 500
   time  event        next arrival time    next departure time  job list
-------  ---------  -------------------  ---------------------  --------------------------------------------------------------------------------------------------------------------------------------------
  0      None                     1                    inf      []
  1      arrival                  1.536                  1.423  [[1.0, 0.423]]
  1.423  departure                1.536                inf      []
  1.536  arrival                  1.865                  1.807  [[1.536, 0.271]]
  1.807  departure                1.865                inf      []
  1.865  arrival                  2.272                  2.29   [[1.865, 0.425]]
  2.272  arrival                  2.885                  2.308  [[1.865, 0.018], [2.272, 0.421]]
  2.308  departure                2.885                  2.711  [[2.272, 0.403]]
  2.711  departure                2.885                inf      []
  2.885  arrival                  3.169                  3.191  [[2.885, 0.306]]
  3.169  arrival                  3.986                  3.213  [[2.885, 0.022], [3.169, 0.231]]
  3.213  departure                3.986                  3.422  [[3.169, 0.209]]
  3.422  departure                3.986                inf      []
  3.986  arrival                  4.399                  4.231  [[3.986, 0.245]]
  4.231  departure                4.399                inf      []
  4.399  arrival                  4.727                  4.698  [[4.399, 0.299]]
  4.698  departure                4.727                inf      []
  4.727  arrival                  5.099                  5.017  [[4.727, 0.29]]
  5.017  departure                5.099                inf      []
  5.099  arrival                  5.507                  5.318  [[5.099, 0.219]]
  5.318  departure                5.507                inf      []
  5.507  arrival                  5.676                  5.982  [[5.507, 0.475]]
  5.676  arrival                  5.81                   6.288  [[5.507, 0.306], [5.676, 0.361]]
  5.81   arrival                  6.012                  6.527  [[5.507, 0.239], [5.676, 0.294], [5.81, 0.348]]
  6.012  arrival                  6.104                  6.7    [[5.507, 0.172], [5.676, 0.227], [5.81, 0.281], [6.012, 0.45]]
  6.104  arrival                  6.469                  6.849  [[5.507, 0.149], [5.676, 0.204], [5.81, 0.258], [6.012, 0.427], [6.104, 0.403]]
  6.469  arrival                  6.897                  6.925  [[5.507, 0.076], [5.676, 0.131], [5.81, 0.185], [6.012, 0.354], [6.104, 0.33], [6.469, 0.364]]
  6.897  arrival                  7.337                  6.932  [[5.507, 0.005], [5.676, 0.06], [5.81, 0.114], [6.012, 0.283], [6.104, 0.259], [6.469, 0.293], [6.897, 0.439]]
  6.932  departure                7.337                  7.262  [[5.676, 0.055], [5.81, 0.109], [6.012, 0.278], [6.104, 0.254], [6.469, 0.288], [6.897, 0.434]]
  7.262  departure                7.337                  7.532  [[5.81, 0.054], [6.012, 0.223], [6.104, 0.199], [6.469, 0.233], [6.897, 0.379]]
  7.337  arrival                  7.71                   7.571  [[5.81, 0.039], [6.012, 0.208], [6.104, 0.184], [6.469, 0.218], [6.897, 0.364], [7.337, 0.417]]
  7.571  departure                7.71                   8.296  [[6.012, 0.169], [6.104, 0.145], [6.469, 0.179], [6.897, 0.325], [7.337, 0.378]]
  7.71   arrival                  8.08                   8.412  [[6.012, 0.141], [6.104, 0.117], [6.469, 0.151], [6.897, 0.297], [7.337, 0.35], [7.71, 0.46]]
  8.08   arrival                  9.075                  8.465  [[6.012, 0.079], [6.104, 0.055], [6.469, 0.089], [6.897, 0.235], [7.337, 0.288], [7.71, 0.398], [8.08, 0.323]]
  8.465  departure                9.075                  8.609  [[6.012, 0.024], [6.469, 0.034], [6.897, 0.18], [7.337, 0.233], [7.71, 0.343], [8.08, 0.268]]
  8.609  departure                9.075                  8.659  [[6.469, 0.01], [6.897, 0.156], [7.337, 0.209], [7.71, 0.319], [8.08, 0.244]]
  8.659  departure                9.075                  9.243  [[6.897, 0.146], [7.337, 0.199], [7.71, 0.309], [8.08, 0.234]]
  9.075  arrival                  9.966                  9.285  [[6.897, 0.042], [7.337, 0.095], [7.71, 0.205], [8.08, 0.13], [9.075, 0.289]]
  9.285  departure                9.966                  9.497  [[7.337, 0.053], [7.71, 0.163], [8.08, 0.088], [9.075, 0.247]]
  9.497  departure                9.966                  9.602  [[7.71, 0.11], [8.08, 0.035], [9.075, 0.194]]
  9.602  departure                9.966                  9.752  [[7.71, 0.075], [9.075, 0.159]]
  9.752  departure                9.966                  9.836  [[9.075, 0.084]]
  9.836  departure                9.966                inf      []
  9.966  arrival                 10.196                 10.321  [[9.966, 0.355]]
 10.196  arrival                 10.715                 10.446  [[9.966, 0.125], [10.196, 0.224]]
 10.446  departure               10.715                 10.545  [[10.196, 0.099]]
 10.545  departure               10.715                inf      []
 10.715  arrival                 11.078                 10.947  [[10.715, 0.232]]
